"","FILENUM","INCIDENT_TYPE","SOURCE","SUBJ_TYPE","SUBJ_INC_NUM","SERVICE_TYPE","RESISTANCE_TYPE","SUB_ACT_DESC","UOF_EFFECTIVE","SUBJ_INJ","SUBJ_INJ_HOSP","INVOLVMENT","AGE","YRS_EMPL","SEX","RACE","ALLEGATION_MADE","FINDING","RECEIVED_DT","OCCURRED_DT","INC_STATUS"
"128","UF2023-041","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-20,2023-08-18,"Completed"
"129","UF2023-042","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-25,2023-08-24,"Completed"
"130","UF2023-043","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-24,2023-08-24,"Completed"
"131","UF2023-044","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,2023-09-05,"Completed"
"132","UF2023-045","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14,2023-07-10,"Completed"
"133","UF2023-046","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-07,2023-09-07,"Completed"
"134","UF2023-047","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-27,2023-09-26,"Completed"
"135","UF2023-048","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-05,2023-10-05,"Completed"
"136","UF2023-049","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-17,2023-10-17,"Completed"
"137","UF2023-050","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-11,2023-10-11,"Completed"
"138","UF2023-051","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-07,2023-11-07,"Completed"
"139","UF2023-052","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-30,2023-09-29,"Completed"
"140","UF2023-053","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,2023-11-19,"Completed"
"141","UF2023-054","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-09,2023-11-09,"Completed"
"142","UF2023-055","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-29,2023-10-29,"Completed"
"143","UF2023-056","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-06,2023-11-05,"Completed"
"144","UF2023-057","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-30,2023-11-30,"Completed"
"145","UF2023-058","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-15,2023-12-14,"Completed"
"146","UF2023-059","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-29,2023-12-29,"Completed"
"147","UF2023-060","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-23,2023-12-23,"Completed"
"148","UF2023-061","Use of force","Employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-10,2023-12-10,"Completed"
"149",NA,"Use of force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-01,2023-12-31,"Initial"
