CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID
2023-00083335,12/10/2023,12/10/2023,1,2,23H,J24-503,JV PETTY LARCENY,-1044178
2023-00083335,12/10/2023,12/10/2023,1,1,13B,J24-401,JV ASSAULT & BATTERY,-1044177
2023-00082786,12/8/2023,12/9/2023,1,2,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1044176
2023-00083390,12/10/2023,12/10/2023,1,3,90E,37-8,PUBLIC INTOXICATION,-1044175
2023-00083390,12/10/2023,12/10/2023,1,2,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1044174
2023-00083390,12/10/2023,12/10/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1044173
2023-00082786,12/8/2023,12/8/2023,1,1,90I,RUNAWA,RUNAWAY,-1044172
2023-00082850,12/8/2023,12/8/2023,1,1,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1044171
2023-00082975,12/9/2023,12/9/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1044170
2023-00083047,12/9/2023,12/9/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1044169
2023-00083371,12/10/2023,12/10/2023,1,4,90Z,21-444,ESCAPE AFTER LAWFUL ARREST / RESISTING,-1044168
2023-00083371,12/10/2023,12/10/2023,1,3,90E,37-8,PUBLIC INTOXICATION,-1044167
2023-00083371,12/10/2023,12/10/2023,1,2,13B,21-649,ASSAULT AND BATTERY ON A POLICE OFFICER (SIMPLE ASSAULT),-1044166
2023-00083371,12/10/2023,12/10/2023,2,1,13B,21-649,ASSAULT AND BATTERY ON A POLICE OFFICER (SIMPLE ASSAULT),-1044165
2023-00083396,12/10/2023,12/10/2023,1,2,13B,21-649,ASSAULT AND BATTERY ON A POLICE OFFICER (SIMPLE ASSAULT),-1044164
2023-00083396,12/10/2023,12/10/2023,1,1,90E,37-537.A8,PUBLIC DRUNK,-1044163
2023-00083177,12/9/2023,12/10/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1044162
2023-00083353,12/10/2023,12/10/2023,1,3,88A,CWARR,WARRANT-CLEV COUNTY,-1044161
2023-00083353,12/10/2023,12/10/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1044160
2023-00083353,12/10/2023,12/10/2023,1,1,90E,37-537.A8,PUBLIC DRUNK,-1044159
2023-00083051,12/9/2023,12/9/2023,1,1,13A,21-644.D,DOMESTIC ABUSE WITH DANGEROUS WEAPON (AGGRAVATED ASSAULT),-1044158
2023-00082743,12/8/2023,12/8/2023,1,3,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1044157
2023-00082743,12/8/2023,12/8/2023,1,2,90Z,21-1713,RECIEVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (ALL OTHER OFFENSES),-1044156
2023-00082743,12/8/2023,12/8/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1044155
2023-00083002,12/9/2023,12/9/2023,1,1,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),-1044154
2023-00083192,12/10/2023,12/10/2023,1,1,90D,47-11.902.4A,DUI UNDER 21,-1044153
2023-00082643,12/7/2023,12/7/2023,1,1,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1044152
2023-00082793,12/8/2023,12/8/2023,1,1,13B,21-644.E,DOMESTIC ABUSE AGAINST A PREGNANT WOMAN (SIMPLE ASSAULT),-1044151
2023-00083410,12/11/2023,12/11/2023,1,1,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1044150
2023-00083215,12/10/2023,12/10/2023,1,1,13C,21-1173,STALKING (INTIMIDATION),-1044149
2023-00083193,12/10/2023,12/10/2023,1,5,90E,37-8,PUBLIC INTOXICATION,-1044148
2023-00083193,12/10/2023,12/10/2023,1,4,90Z,21-540,OBSTRUCTING OFFICER,-1044147
2023-00083193,12/10/2023,12/10/2023,2,3,13B,21-650.9,PRISONER PLACING BODY FLUID ON GOVERNMENT EMPLOYE (SIMPLE ASSAULT),-1044146
2023-00083193,12/10/2023,12/10/2023,1,2,13B,21-649,ASSAULT AND BATTERY ON A POLICE OFFICER (SIMPLE ASSAULT),-1044145
2023-00083193,12/10/2023,12/10/2023,1,1,26B,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),-1044144
2023-90000594,12/7/2023,12/7/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1044143
2023-00082651,12/7/2023,12/7/2023,1,1,90E,24-202,PUBLIC INTOX,-1044142
2023-00080599,11/29/2023,11/29/2023,1,5,88C,OWARR,WARRANT-OTHER,-1044141
2023-00082738,12/8/2023,12/8/2023,1,1,90Z,24-602,INTER W/OFF PROC,-1044140
2023-00082526,12/7/2023,12/7/2023,1,1,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1044139
2023-00082549,12/7/2023,11/28/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1044138
2023-00082585,12/7/2023,12/6/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1044137
2023-00082761,12/8/2023,12/8/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1044136
2023-00082758,12/8/2023,12/7/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1044135
2023-00082795,12/8/2023,12/8/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1044134
2023-00082558,12/7/2023,12/7/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1044133
2023-00082471,12/6/2023,12/6/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1044132
2023-00082712,12/7/2023,12/7/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1044131
2023-00082486,12/7/2023,12/7/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1044130
2023-00082669,12/7/2023,12/7/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1044129
2023-00082727,12/8/2023,12/8/2023,1,1,90J,24-505,TRESPASSING,-1044128
2023-00082635,12/7/2023,12/7/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1044127
2023-00082737,12/8/2023,12/8/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1044126
2023-00082665,12/7/2023,12/7/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1044125
2023-00082676,12/7/2023,12/7/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1044124
2023-00082597,12/7/2023,12/7/2023,1,1,90J,24-505,TRESPASSING,-1044123
2023-00081894,12/4/2023,12/4/2023,1,1,13B,J24-401,JV ASSAULT & BATTERY,-1044122
2023-00082626,12/7/2023,12/7/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1044121
2023-00082593,12/7/2023,9/28/2023,1,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1044120
2023-00082547,12/7/2023,12/6/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1044119
2023-00082540,12/7/2023,12/6/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1044118
2023-00082538,12/7/2023,12/6/2023,1,1,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),-1044117
2023-00082089,12/5/2023,12/4/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1044116
2023-00082692,12/7/2023,12/7/2023,1,1,23C,24-503,PETTY LARCENY,-1044115
2023-00078863,11/21/2023,9/1/2023,1,1,26C,21-1501,SECURING CREDIT FRAUDENTLY (IMPERSONATION),-1044114
2023-00080505,11/28/2023,11/28/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1044113
2023-00082681,12/7/2023,12/7/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1044112
2023-00082672,12/7/2023,12/7/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1044111
2023-00082586,12/7/2023,12/7/2023,1,1,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1044110
2023-00082664,12/7/2023,12/7/2023,1,2,90Z,21-540,OBSTRUCTING OFFICER,-1044109
2023-00082664,12/7/2023,12/7/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1044108
2023-00082492,12/7/2023,12/8/2023,6,10,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1044107
2023-00082492,12/7/2023,12/7/2023,1,9,90Z,21-856,CONTRIBUTING TO THE DELINQUENCY OF MINORS,-1044106
2023-00080689,11/29/2023,11/29/2023,1,1,90Z,24-309,TRUANCY,-1044105
2023-00081674,12/3/2023,12/3/2023,1,2,290,24-502,MOLESTING PROP,-1044104
2023-00081674,12/3/2023,12/3/2023,1,1,90J,24-505,TRESPASSING,-1044103
2023-00081019,11/30/2023,11/30/2023,1,1,23C,24-503,PETTY LARCENY,-1044102
2023-00081911,12/4/2023,12/4/2023,1,1,90J,24-505,TRESPASSING,-1044101
2023-00081888,12/4/2023,12/3/2023,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1044100
2023-00081746,12/3/2023,12/3/2023,1,1,90E,24-202,PUBLIC INTOX,-1044099
2023-00081340,12/2/2023,12/2/2023,1,2,13B,24-401,ASSAULT & BATTERY,-1044098
2023-00081340,12/2/2023,12/2/2023,1,1,90E,24-202,PUBLIC INTOX,-1044097
2023-00082226,12/5/2023,12/5/2023,1,1,90J,24-505,TRESPASSING,-1044096
2023-00082348,12/6/2023,12/6/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1044095
2023-00082536,12/7/2023,6/25/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1044094
2023-00081511,12/2/2023,12/2/2023,1,1,90E,24-202,PUBLIC INTOX,-1044093
2023-00081580,12/3/2023,10/3/2023,1,1,90E,24-202,PUBLIC INTOX,-1044092
2023-00081716,12/3/2023,12/3/2023,1,1,90Z,24-403,DIST THE PEACE,-1044091
2023-00081420,12/2/2023,12/2/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1044090
2023-90000592,12/6/2023,12/6/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1044089
2023-00072788,10/28/2023,10/28/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1044088
2023-90000591,12/6/2023,12/6/2023,1,1,26A,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM  (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1044087
2023-00081576,12/3/2023,12/3/2023,1,1,90Z,24-403,DIST THE PEACE,-1044086
2023-00081565,12/3/2023,12/3/2023,1,1,90E,24-202,PUBLIC INTOX,-1044085
2023-00082445,12/6/2023,12/6/2023,1,1,90J,24-505,TRESPASSING,-1044084
2023-00081255,12/1/2023,12/1/2023,1,3,90Z,24-604,OBSTR PUBLIC WAY,-1044083
2023-00081255,12/1/2023,12/1/2023,1,2,35A,24-307,POSS/MARIJ,-1044082
2023-00081255,12/1/2023,12/1/2023,1,1,90E,24-202,PUBLIC INTOX,-1044081
2023-00081000,11/30/2023,11/30/2023,1,2,90J,24-505,TRESPASSING,-1044080
2023-00081000,11/30/2023,11/30/2023,1,1,23C,24-503,PETTY LARCENY,-1044079
2023-00081405,12/2/2023,12/2/2023,1,1,290,24-508,GRAFFITI,-1044078
2023-00082349,12/6/2023,12/6/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1044077
2023-00081665,12/3/2023,12/3/2023,1,1,90J,24-505,TRESPASSING,-1044076
2023-00079127,11/22/2023,11/22/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1044075
2023-00081890,12/4/2023,12/4/2023,1,1,90E,24-202,PUBLIC INTOX,-1044074
2023-00081995,12/4/2023,12/4/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1044073
2023-00082404,12/6/2023,12/6/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1044072
2023-00082335,12/6/2023,12/6/2023,1,2,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1044071
2023-00082335,12/6/2023,12/6/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1044070
2023-00082492,12/7/2023,12/7/2023,1,8,520,21-1289.6,CARRYING A LOADED FIREARM,-1044069
2023-00082492,12/7/2023,12/7/2023,1,7,90Z,21-1713,RECIEVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (ALL OTHER OFFENSES),-1044068
2023-00082492,12/7/2023,12/7/2023,1,6,90Z,21-540,OBSTRUCTING OFFICER,-1044067
2023-00082492,12/7/2023,12/7/2023,1,5,90Z,21-540.A.A,ELUDING A PEACE OFFICER,-1044066
2023-00082492,12/7/2023,12/7/2023,1,4,90Z,21-421,CONSPIRACY,-1044065
2023-00082492,12/7/2023,12/7/2023,1,3,240,21-1720,LARCENY OF AUTO,-1044064
2023-00082492,12/7/2023,12/7/2023,1,2,90Z,21-421,CONSPIRACY,-1044063
2023-00082492,12/7/2023,12/7/2023,1,1,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),-1044062
2023-00082499,12/7/2023,12/7/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1044061
2023-00082485,12/7/2023,12/7/2023,1,1,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1044060
2023-00082501,12/7/2023,12/7/2023,1,2,13B,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),-1044059
2023-00082501,12/7/2023,12/7/2023,1,1,13B,21-644.E,DOMESTIC ABUSE AGAINST A PREGNANT WOMAN (SIMPLE ASSAULT),-1044058
2023-00082380,12/6/2023,11/15/2023,1,1,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),-1044057
2023-00082446,12/6/2023,11/5/2023,1,1,90Z,56-243,FALSE REPRESENTATION IN OBTAINING FOOD STAMPS,-1044056
2023-00082440,12/6/2023,12/6/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1044055
2023-00082400,12/6/2023,12/6/2023,2,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1044054
2023-00082430,12/6/2023,12/6/2023,1,2,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1044053
2023-00082430,12/6/2023,12/6/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1044052
2023-00082399,12/6/2023,12/6/2023,1,1,90I,RUNAWA,RUNAWAY,-1044051
2023-00082371,12/6/2023,11/15/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1044050
2023-00082340,12/6/2023,12/6/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1044049
2023-00082219,12/5/2023,12/1/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1044048
2023-00082219,12/5/2023,12/1/2023,1,1,23G,21-1435.B,BURGLARY - THIRD DEGREE (THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES),-1044047
2023-00082300,12/6/2023,11/30/2023,1,1,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),-1044046
2023-00081213,12/1/2023,12/1/2023,1,1,86S,INTEL - INFO,INTEL INFORMATION,-1044045
2023-00082423,12/6/2023,12/6/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1044044
2023-00081372,12/2/2023,11/30/2023,1,1,23C,24-503,PETTY LARCENY,-1044043
2023-00081371,12/2/2023,12/2/2023,1,1,23C,24-503,PETTY LARCENY,-1044042
2023-00081186,12/1/2023,12/1/2023,1,1,90J,24-505,TRESPASSING,-1044041
2023-00080866,11/30/2023,11/30/2023,1,1,90J,24-505,TRESPASSING,-1044040
2023-00082173,12/5/2023,12/5/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1044038
2023-00082292,12/6/2023,12/6/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1044037
2023-00082351,12/6/2023,12/3/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1044036
2023-00081901,12/4/2023,12/4/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1044035
2023-00082346,12/6/2023,12/5/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1044034
2023-00082324,12/6/2023,12/6/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1044033
2023-00071876,10/24/2023,10/24/2023,1,6,290,DAMAGEDPROP,DAMAGED PROPERTY,-1044032
2023-00080961,11/30/2023,11/30/2023,1,1,90J,24-505,TRESPASSING,-1044031
2023-00073653,10/31/2023,10/31/2023,1,4,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1044030
2023-00081051,11/30/2023,11/30/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1044029
2023-00073653,10/31/2023,10/31/2023,1,3,23G,21-1701,LARCENY (THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES),-1044028
2023-00071791,10/24/2023,10/23/2023,1,2,26A,21-1953,COMPUTER FRAUD/UNLAWFUL USE OF COMPUTER/SYSTEM  (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1044027
2023-00082329,12/6/2023,11/13/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1044026
2023-00082310,12/6/2023,11/7/2023,2,1,26E,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (WIRE FRAUD),-1044025
2023-00082319,12/6/2023,12/6/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1044024
2023-00080572,11/29/2023,11/29/2023,1,1,86S,INTEL - INFO,INTEL INFORMATION,-1044023
2023-00081304,12/1/2023,12/1/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1044022
2023-00081304,12/1/2023,12/1/2023,1,1,90J,24-505,TRESPASSING,-1044021
2023-00080810,11/29/2023,11/29/2023,1,3,13B,24-601,A & B ON PO,-1044020
2023-00080810,11/29/2023,11/29/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1044019
2023-00080810,11/29/2023,11/29/2023,1,1,90B,J24-301,JV CURFEW VIOL,-1044018
2023-00069880,10/17/2023,10/17/2023,1,3,23C,24-503,PETTY LARCENY,-1044017
2023-00080990,11/30/2023,11/30/2023,1,1,90E,24-202,PUBLIC INTOX,-1044016
2023-00080290,11/28/2023,11/28/2023,1,1,90E,24-202,PUBLIC INTOX,-1044015
2023-00080154,11/27/2023,11/27/2023,1,3,90Z,J24-309,JV TRUANCY,-1044014
2023-00080154,11/27/2023,11/27/2023,1,2,90Z,J24-602,JV INTER W/OFF PROC,-1044013
2023-00080154,11/27/2023,11/27/2023,1,1,90Z,24-309,TRUANCY,-1044012
2023-00082162,12/5/2023,12/5/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1044011
2023-00082311,12/6/2023,12/5/2023,1,2,90Z,21-421,CONSPIRACY,-1044010
2023-00082311,12/6/2023,12/5/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1044009
2023-00082140,12/5/2023,12/4/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1044008
2023-00082140,12/5/2023,12/4/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1044007
2023-00082182,12/5/2023,12/5/2023,1,1,90E,24-202,PUBLIC INTOX,-1044006
2023-00082188,12/5/2023,12/5/2023,1,2,35B,24-312,POSS/DRUG PARAPHERNALIA,-1044005
2023-00082188,12/5/2023,12/5/2023,1,1,90Z,24-305,UNDER INFLUENCE/NARC,-1044004
2023-00082272,12/6/2023,12/6/2023,1,2,90J,24-505,TRESPASSING,-1044003
2023-00082272,12/6/2023,12/6/2023,1,1,35B,24-312,POSS/DRUG PARAPHERNALIA,-1044002
2023-00082279,12/6/2023,12/6/2023,1,1,13B,21-642,BATTERY (SIMPLE ASSAULT),-1044001
2023-00082271,12/6/2023,12/6/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1044000
2023-00082271,12/6/2023,12/6/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1043999
2023-00082248,12/5/2023,6/1/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1043998
2023-00082294,12/6/2023,12/6/2023,1,1,83B,MISPER,MISSING PERSON,-1043997
2023-00082286,12/6/2023,12/6/2023,1,1,90I,RUNAWA,RUNAWAY,-1043996
2023-00082241,12/5/2023,12/5/2023,1,1,90I,RUNAWA,RUNAWAY,-1043995
2023-00082194,12/5/2023,12/5/2023,1,1,23H,21-1740.2,PORCH PIRACY ACT OF 2020 (LARCENY ALL OTHER),-1043994
2023-00082174,12/5/2023,12/3/2023,1,1,23H,21-51.3,PETIT LARCENY AFCF  (ALL OTHER LARCENY),-1043993
2023-00082119,12/5/2023,12/4/2023,1,1,240,21-1720,LARCENY OF AUTO,-1043992
2023-00082096,12/5/2023,12/5/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1043991
2023-00082078,12/5/2023,12/5/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1043990
2023-00081919,12/4/2023,12/3/2023,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1043989
2023-00080674,11/29/2023,11/29/2023,1,1,35A,63-2.401.B,POSSESSION OF CDS W/INTENT,-1043988
2023-00082106,12/5/2023,12/5/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1043987
2023-00082228,12/5/2023,12/5/2023,1,1,88C,OWARR,WARRANT-OTHER,-1043986
2023-00074988,11/6/2023,11/6/2023,1,4,90Z,21-425,CRIMINAL PATTERING / PATTERN OF CRIMINAL OFFENSES,-1043985
2023-00074988,11/6/2023,11/6/2023,1,3,270,21-1451,EMBEZZLEMENT,-1043984
2023-00082229,12/5/2023,12/5/2023,1,1,86M,SUICPROTECT,SUICIDE ATTEMPT / PROTECTIVE CUSTODY,-1043983
2023-00082236,12/5/2023,12/5/2023,1,1,86M,SUICPROTECT,SUICIDE ATTEMPT / PROTECTIVE CUSTODY,-1043982
2023-00082218,12/5/2023,12/5/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1043981
2023-00082166,12/5/2023,12/5/2023,2,2,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1043980
2023-00082166,12/5/2023,12/5/2023,1,1,88C,OWARR,WARRANT-OTHER,-1043979
2023-00082213,12/5/2023,12/5/2023,1,3,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1043978
2023-00082213,12/5/2023,12/5/2023,1,2,520,21-1289.9,CARRYING FIREARMS WHILE UNDER THE INFLUENCE,-1043977
2023-00082213,12/5/2023,12/5/2023,1,1,90E,37-537.A8,PUBLIC DRUNK,-1043976
2023-00080396,11/28/2023,11/28/2023,1,1,86C,4-403,ANIMAL BITE,-1043975
2023-00078791,11/21/2023,11/21/2023,1,2,86D,4-508,INTER W/ENFORCE,-1043974
2023-00078791,11/21/2023,11/21/2023,1,1,86D,4-505,VACCINATION DOGS/CATS,-1043973
2023-00081658,12/3/2023,12/3/2023,1,1,90Z,24-603,LITTERING,-1043972
2023-00080811,11/30/2023,11/30/2023,1,3,90Z,24-602,INTER W/OFF PROC,-1043971
2023-00080811,11/30/2023,11/30/2023,1,2,35B,24-312,POSS/DRUG PARAPHERNALIA,-1043970
2023-00080811,11/30/2023,11/30/2023,1,1,90J,24-505,TRESPASSING,-1043969
2023-00082083,12/5/2023,11/30/2023,1,1,90Z,21-852.1,CHILD ENDANGERMENT,-1043968
2023-00082054,12/5/2023,12/4/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1043967
2023-00080573,11/29/2023,11/29/2023,1,1,90J,24-505,TRESPASSING,-1043966
2023-00080345,11/28/2023,11/28/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1043965
2023-00082117,12/5/2023,12/5/2023,1,1,90Z,56-243,FALSE REPRESENTATION IN OBTAINING FOOD STAMPS,-1043964
2023-00080110,11/27/2023,11/27/2023,1,1,90J,24-505,TRESPASSING,-1043963
2023-00079096,11/22/2023,11/22/2023,1,1,86C,ANIMALEXPOSURE,ANIMAL EXPOSURE / BITE,-1043962
2023-00081553,12/3/2023,12/3/2023,1,4,90B,J24-301,JV CURFEW VIOL,-1043961
2023-00081553,12/3/2023,12/3/2023,1,3,90Z,24-403,DIST THE PEACE,-1043960
2023-00081553,12/3/2023,12/3/2023,1,2,90Z,24-408,SOCIAL HOST,-1043959
2023-00081553,12/3/2023,12/3/2023,1,1,90Z,24-406,NUISANCE PARTY,-1043958
2023-00079950,11/26/2023,11/26/2023,1,2,90J,24-505,TRESPASSING,-1043957
2023-00079950,11/26/2023,11/26/2023,1,1,23C,24-503,PETTY LARCENY,-1043956
2023-00079910,11/26/2023,11/26/2023,1,1,90Z,24-403,DIST THE PEACE,-1043955
2023-00079510,11/24/2023,11/24/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1043954
2023-00079745,11/25/2023,11/25/2023,1,1,90E,24-202,PUBLIC INTOX,-1043953
2023-00082069,12/5/2023,12/5/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1043952
2023-00082037,12/5/2023,12/5/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1043951
2023-00082037,12/5/2023,12/5/2023,1,1,90J,24-505,TRESPASSING,-1043950
2023-00082025,12/4/2023,12/4/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1043949
2023-00081961,12/4/2023,12/4/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1043948
2023-00081953,12/4/2023,12/4/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1043947
2023-00081943,12/4/2023,12/2/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1043946
