CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID,Bias
2023-00064198,9/25/2023,9/25/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040877,NA
2023-00064189,9/25/2023,9/25/2023,1,2,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1040876,NA
2023-00064189,9/25/2023,9/25/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1040875,NA
2023-00064262,9/25/2023,9/25/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1040874,NA
2023-00064129,9/25/2023,9/25/2023,1,1,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1040872,NA
2023-00064265,9/26/2023,9/26/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1040871,NA
2023-00064265,9/26/2023,9/26/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040870,NA
2023-00064267,9/26/2023,9/26/2023,3,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040869,NA
2023-00064237,9/25/2023,9/25/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040868,NA
2023-00064202,9/25/2023,9/25/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040867,NA
2023-00064187,9/25/2023,9/25/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040866,NA
2023-00064203,9/25/2023,9/25/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1040865,NA
2023-00064111,9/25/2023,9/25/2023,3,1,88C,OWARR,WARRANT-OTHER,-1040864,NA
2023-00063823,9/24/2023,9/24/2023,1,1,90E,24-202,PUBLIC INTOX,-1040863,NA
2023-00063842,9/24/2023,9/24/2023,1,2,90J,24-505,TRESPASSING,-1040862,NA
2023-00063593,9/23/2023,9/23/2023,1,1,90Z,24-403,DIST THE PEACE,-1040861,NA
2023-00063612,9/23/2023,9/23/2023,1,2,90Z,J24-602,JV INTER W/OFF PROC,-1040860,NA
2023-00063612,9/23/2023,9/23/2023,1,1,90B,J24-301,JV CURFEW VIOL,-1040859,NA
2023-00042883,6/30/2023,9/12/2023,1,2,290,24-502,MOLESTING PROP,-1040858,NA
2023-00063684,9/23/2023,9/23/2023,1,1,35B,24-312,POSS/DRUG PARAPHERNALIA,-1040857,NA
2023-00064090,9/25/2023,9/25/2023,1,1,86S,LOSTPROP,LOST PROPERTY,-1040856,NA
2023-00063943,9/24/2023,9/24/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1040855,NA
2023-00062362,9/18/2023,9/18/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1040854,NA
2023-00063686,9/23/2023,9/23/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1040853,NA
2023-00063687,9/23/2023,9/22/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1040852,NA
2023-00063651,9/23/2023,9/22/2023,1,2,290,21-1760.A.2,MALICIOUS INJURY TO PROPERTY - OVER $1000,-1040851,NA
2023-00063651,9/23/2023,9/22/2023,1,1,23H,21-1708,GRAND LARCENY AT NIGHT (ALL OTHER LARCENY),-1040850,NA
2023-00063495,9/22/2023,9/22/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1040849,NA
2023-00063450,9/22/2023,9/22/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1040848,NA
2023-00063746,9/23/2023,9/22/2023,1,1,26B,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),-1040847,NA
2023-00063766,9/23/2023,9/23/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1040846,NA
2023-00063915,9/24/2023,9/23/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040845,NA
2023-00063276,9/21/2023,9/21/2023,1,1,26A,21-1502,FRAUDULENT ADVERTISING (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1040844,NA
2023-00063929,9/24/2023,9/24/2023,1,1,290,24-502,MOLESTING PROP,-1040843,NA
2023-00063560,9/22/2023,9/22/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1040842,NA
2023-00063667,9/23/2023,9/23/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040841,NA
2023-00063742,9/23/2023,9/23/2023,1,1,23D,21-1706,PETIT LARCENY (THEFT FROM BUILDING),-1040840,NA
2023-00062429,9/18/2023,9/16/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1040839,NA
2023-00063442,9/22/2023,9/21/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1040838,NA
2023-00063618,9/23/2023,9/23/2023,1,1,90E,24-202,PUBLIC INTOX,-1040837,NA
2023-00063442,9/22/2023,9/21/2023,1,1,23G,21-1435.B,BURGLARY - THIRD DEGREE (THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES),-1040836,NA
2023-00063531,9/22/2023,9/21/2023,1,1,23C,21-1706,PETIT LARCENY (SHOPLIFTING),-1040835,NA
2023-00063444,9/22/2023,9/22/2023,1,1,90B,21-1125,"SEX OFFENDER ENTERING Zone of Safety Around Schools, Child Care Facilities, Playgrounds, and Parks",-1040834,NA
2023-00063610,9/23/2023,9/23/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1040833,NA
2023-00063609,9/23/2023,9/23/2023,1,1,90E,24-202,PUBLIC INTOX,-1040832,NA
2023-00063384,9/22/2023,9/22/2023,1,1,23H,21-1705,GRAND LARCENY (ALL OTHER LARCENY),-1040831,NA
2023-00063962,9/24/2023,9/7/2023,1,1,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1040830,NA
2023-00064085,9/25/2023,9/23/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1040829,NA
2023-00063434,9/22/2023,9/22/2023,1,1,90Z,J24-309,JV TRUANCY,-1040828,NA
2023-00063390,9/22/2023,9/21/2023,1,1,90Z,2-Oct,CHILD ABUSE,-1040827,NA
2023-00063398,9/22/2023,1/1/2015,1,1,11C,21-843.5.F,SEXUAL ABUSE - CHILD UNDER 12 (SEXUAL ASSAULT WITH AN OBJECT),-1040826,NA
2023-00063369,9/22/2023,9/20/2023,1,1,13B,J24-401,JV ASSAULT & BATTERY,-1040825,NA
2023-00063482,9/22/2023,8/31/2023,1,1,240,21-1720,LARCENY OF AUTO,-1040824,NA
2023-00063663,9/23/2023,9/23/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040823,NA
2023-00063470,9/22/2023,9/22/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1040822,NA
2023-00063498,9/22/2023,9/22/2023,1,1,11D,21-1123.B,SEXUAL BATTERY,-1040821,NA
2023-00063516,9/22/2023,9/22/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1040820,NA
2023-00063511,9/22/2023,9/22/2023,1,1,86M,SUICPROTECT,SUICIDE ATTEMPT / PROTECTIVE CUSTODY,-1040819,NA
2023-00063947,9/24/2023,9/24/2023,1,2,220,21-1438,ENTER STRUCTURE W/CERTAIN INTENT - BREAK AND ENTER (BURGLARY),-1040818,NA
2023-00063947,9/24/2023,9/24/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040817,NA
2023-00063887,9/24/2023,9/24/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040816,NA
2023-00063980,9/24/2023,9/24/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040815,NA
2023-00063985,9/24/2023,9/24/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1040814,NA
2023-00063547,9/22/2023,9/22/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040813,NA
2023-00064042,9/25/2023,9/23/2023,1,1,90Z,24-306,INDECENT EXPOSURE,-1040812,NA
2023-00063855,9/24/2023,9/24/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040811,NA
2023-00063751,9/23/2023,9/23/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040810,NA
2023-00063773,9/23/2023,9/23/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040809,NA
2023-00062079,9/17/2023,9/16/2023,1,1,240,21-1720,LARCENY OF AUTO,-1040808,NA
2023-00063538,9/22/2023,9/22/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1040807,NA
2023-00063642,9/23/2023,9/22/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1040806,NA
2023-00063493,9/22/2023,9/22/2023,1,1,88C,OWARR,WARRANT-OTHER,-1040805,NA
2023-00063642,9/23/2023,9/22/2023,1,1,240,21-1720,LARCENY OF AUTO,-1040804,NA
2023-00062550,9/19/2023,9/19/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040803,NA
2023-00063227,9/21/2023,9/21/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040802,NA
2023-00063959,9/24/2023,9/24/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1040801,NA
2023-00063776,9/23/2023,9/21/2023,1,1,240,21-1720,LARCENY OF AUTO,-1040800,NA
2023-00064030,9/25/2023,9/25/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040799,NA
2023-00064043,9/25/2023,9/25/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040798,NA
2023-00063840,9/24/2023,9/24/2023,1,1,13A,21-652.A,SHOOTING WITH INTENT TO KILL,-1040797,NA
2023-00063933,9/24/2023,9/24/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040796,NA
2023-00063780,9/23/2023,8/15/2023,3,1,240,21-1720,LARCENY OF AUTO,-1040795,NA
2023-00063239,9/21/2023,9/21/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040794,NA
2023-00063965,9/24/2023,9/24/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040793,NA
2023-00063861,9/24/2023,9/24/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040792,NA
2023-00063639,9/23/2023,9/23/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040791,NA
2023-00063842,9/24/2023,9/24/2023,5,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040790,NA
2023-00063966,9/24/2023,9/24/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1040789,NA
2023-00062505,9/18/2023,9/18/2023,1,1,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),-1040787,NA
2023-00063624,9/23/2023,9/23/2023,1,1,13A,21-644.D,DOMESTIC ABUSE WITH DANGEROUS WEAPON (AGGRAVATED ASSAULT),-1040786,NA
2023-00063574,9/22/2023,9/22/2023,1,1,90I,RUNAWA,RUNAWAY,-1040785,NA
2023-00063542,9/22/2023,9/18/2023,1,1,83B,MISPER,MISSING PERSON,-1040784,NA
2023-00062667,9/19/2023,9/19/2023,1,1,13B,21-644.1,DOMESTIC ABUSE WITH PRIOR PATTERN OF PHYSICAL ABUSE (SIMPLE ASSAULT),-1040783,NA
2023-00063707,9/23/2023,9/23/2023,1,2,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1040782,NA
2023-00063707,9/23/2023,9/23/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1040781,NA
2023-00063827,9/24/2023,9/24/2023,1,2,520,21-1289.9,CARRYING FIREARMS WHILE UNDER THE INFLUENCE,-1040780,NA
2023-00063827,9/24/2023,9/24/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1040779,NA
2023-00063804,9/23/2023,9/23/2023,1,1,520,21-1364,DISCHARGING FIREARMS IN PUBLIC PLACE,-1040778,NA
2023-00063660,9/23/2023,9/23/2023,1,2,90Z,47-10.103,LEAVING SCENE OF ACCIDENT INVOLVING DAMAGE,-1040777,NA
2023-00063660,9/23/2023,9/23/2023,1,1,90D,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),-1040776,NA
2023-00063559,9/22/2023,8/31/2023,1,1,240,21-1720,LARCENY OF AUTO,-1040771,NA
2023-00063617,9/23/2023,9/23/2023,1,4,90E,37-8,PUBLIC INTOXICATION,-1040770,NA
2023-00063617,9/23/2023,9/23/2023,1,3,35A,63-2.402.B.1,POSSESSION OF CDS,-1040769,NA
2023-00063617,9/23/2023,9/23/2023,1,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1040768,NA
2023-00063617,9/23/2023,9/23/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1040767,NA
2023-00063208,9/21/2023,9/21/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1040766,NA
2023-00063441,9/22/2023,7/23/2023,1,1,23C,21-1705,GRAND LARCENY (SHOPLIFTING),-1040765,NA
2023-00063456,9/22/2023,9/21/2023,1,5,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1040764,NA
2023-00063456,9/22/2023,9/21/2023,2,4,13A,21-650.9,PRISONER PLACING BODY FLUID ON GOVERNMENT EMPLOYE (AGGRAVATED ASSAULT),-1040763,NA
2023-00063456,9/22/2023,9/21/2023,2,3,13B,21-649,ASSAULT AND BATTERY ON A POLICE OFFICER (SIMPLE ASSAULT),-1040762,NA
2023-00063456,9/22/2023,9/21/2023,1,2,100,21-741,KIDNAPPING,-1040761,NA
2023-00063456,9/22/2023,9/21/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1040760,NA
2023-00063246,9/21/2023,9/21/2023,1,4,290,24-502,MOLESTING PROP,-1040759,NA
2023-00063246,9/21/2023,9/21/2023,1,3,13B,24-401,ASSAULT & BATTERY,-1040758,NA
2023-00063436,9/22/2023,9/20/2023,1,1,90Z,24-309,TRUANCY,-1040757,NA
2023-00063233,9/21/2023,9/21/2023,1,2,23C,24-503,PETTY LARCENY,-1040756,NA
2023-00063233,9/21/2023,9/21/2023,1,1,90E,24-202,PUBLIC INTOX,-1040755,NA
2023-00063216,9/21/2023,9/21/2023,1,1,90J,24-505,TRESPASSING,-1040754,NA
2023-00063101,9/21/2023,9/21/2023,1,1,90J,24-505,TRESPASSING,-1040753,NA
2023-00061830,9/16/2023,9/15/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1040752,NA
2023-00063356,9/22/2023,9/22/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1040751,NA
2023-00063395,9/22/2023,9/19/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040750,NA
2023-00063409,9/22/2023,9/21/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040749,NA
2023-00063386,9/22/2023,7/31/2023,1,1,90Z,10A-1-1-105,CHILD ABUSE,-1040748,NA
2023-00063154,9/21/2023,9/21/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1040747,NA
2023-00062873,9/20/2023,9/20/2023,1,1,90Z,J24-309,JV TRUANCY,-1040746,NA
2023-00062925,9/20/2023,9/15/2023,1,2,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1040745,NA
2023-00062925,9/20/2023,9/15/2023,1,1,13B,21-843.5.A,CHILD ABUSE BY INJURY (SIMPLE ASSAULT),-1040744,NA
2023-00062830,9/20/2023,8/31/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040743,NA
2023-00063219,9/21/2023,9/21/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040742,NA
2023-00062697,9/19/2023,9/19/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040741,NA
2023-00062930,9/20/2023,9/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040740,NA
2023-00062000,9/16/2023,9/16/2023,1,1,90J,24-505,TRESPASSING,-1040739,NA
2023-00063262,9/21/2023,9/21/2023,1,3,90Z,24-304,HARM SUB/CONSUME/POSSESSED/SOLD,-1040738,NA
2023-00063262,9/21/2023,9/21/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1040737,NA
2023-00062482,9/18/2023,9/18/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1040736,NA
2023-00063067,9/21/2023,9/21/2023,1,7,35A,63-2.402.B.1,POSSESSION OF CDS,-1040735,NA
2023-00063067,9/21/2023,9/21/2023,1,6,88A,CWARR,WARRANT-CLEV COUNTY,-1040734,NA
2023-00063067,9/21/2023,9/21/2023,1,5,90Z,21-540,OBSTRUCTING OFFICER,-1040733,NA
2023-00063067,9/21/2023,9/21/2023,1,4,35A,63-2.401.B2,POSSESSION MARIJUANA WITH INTENT TO DISTRIBUTE,-1040732,NA
2023-00063067,9/21/2023,9/21/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1040731,NA
2023-00063067,9/21/2023,9/21/2023,1,2,90Z,68-450.8,POSSESSION OF CDS WITH NO TAX STAMP,-1040730,NA
2023-00063067,9/21/2023,9/21/2023,1,1,35A,63-2.415,TRAFFICKING CDS,-1040729,NA
2023-00059632,9/7/2023,9/7/2023,1,1,88C,OWARR,WARRANT-OTHER,-1040728,NA
2023-00063145,9/21/2023,9/21/2023,1,1,88C,OWARR,WARRANT-OTHER,-1040727,NA
2023-00063319,9/21/2023,9/21/2023,1,3,13A,21-650,AGGRAVATED  A& B ON POLICE OFFICER (AGGRAVATED ASSAULT),-1040726,NA
2023-00063319,9/21/2023,9/21/2023,1,2,13B,21-650.9,PRISONER PLACING BODY FLUID ON GOVERNMENT EMPLOYE (SIMPLE ASSAULT),-1040725,NA
2023-00063319,9/21/2023,9/21/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1040724,NA
2023-00063314,9/21/2023,9/14/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1040723,NA
2023-00063174,9/21/2023,9/21/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1040722,NA
2023-00063349,9/22/2023,9/22/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040721,NA
2023-00063201,9/21/2023,9/21/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040720,NA
2023-00062695,9/19/2023,9/19/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040719,NA
2023-00063288,9/21/2023,9/21/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040718,NA
2023-00062953,9/20/2023,9/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040717,NA
2023-00061166,9/13/2023,9/13/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1040716,NA
2023-00063125,9/21/2023,9/20/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1040715,NA
2023-00063130,9/21/2023,9/17/2023,1,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1040714,NA
2023-00063191,9/21/2023,9/21/2023,1,1,23C,24-503,PETTY LARCENY,-1040713,NA
2023-00063299,9/21/2023,9/21/2023,1,2,13B,21-843.5.A,CHILD ABUSE BY INJURY (SIMPLE ASSAULT),-1040712,NA
2023-00063299,9/21/2023,9/21/2023,1,1,13A,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (AGGRAVATED ASSAULT),-1040711,NA
2023-00063248,9/21/2023,9/15/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040710,NA
2023-00063272,9/21/2023,9/21/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1040709,NA
2023-00063290,9/21/2023,9/21/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1040708,NA
2023-00062874,9/20/2023,9/19/2023,1,1,90Z,21-1378.A,ACT OF VIOLENCE - ATTEMPT TO CONSPIRE OR ENDEAVOR SERIOUS BODILY HARM OR DEATH,-1040707,NA
2023-00063246,9/21/2023,9/21/2023,3,2,88C,OWARR,WARRANT-OTHER,-1040706,NA
2023-00063246,9/21/2023,9/21/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040705,NA
2023-00063106,9/21/2023,9/21/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1040704,NA
2023-00063141,9/21/2023,9/19/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1040703,NA
2023-00063136,9/21/2023,9/18/2023,1,1,83B,MISPER,MISSING PERSON,-1040702,NA
2023-00063155,9/21/2023,9/20/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1040701,NA
2023-00063315,9/21/2023,9/21/2023,4,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040700,NA
2023-00063268,9/21/2023,9/21/2023,1,1,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1040699,NA
2023-00063277,9/21/2023,9/21/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1040698,NA
2023-00063262,9/21/2023,9/21/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040697,NA
2023-00063297,9/21/2023,9/21/2018,1,1,11A,21-1111,RAPE (FORCIBLE RAPE),-1040696,NA
2023-00063325,9/21/2023,9/21/2023,1,1,90I,RUNAWA,RUNAWAY,-1040695,NA
2023-00062770,9/20/2023,9/20/2023,1,2,90Z,24-609,UNLAWFUL USE/DL,-1040694,NA
2023-00062770,9/20/2023,9/20/2023,1,1,90E,24-202,PUBLIC INTOX,-1040693,NA
2023-00062876,9/20/2023,9/20/2023,1,1,90J,24-505,TRESPASSING,-1040692,NA
2023-00063051,9/20/2023,9/20/2023,1,1,90J,24-505,TRESPASSING,-1040691,NA
2023-00062960,9/20/2023,9/20/2023,1,2,90Z,24-602,INTER W/OFF PROC,-1040690,NA
2023-00062960,9/20/2023,9/20/2023,1,1,90E,24-202,PUBLIC INTOX,-1040689,NA
2023-00063014,9/20/2023,9/20/2023,1,1,13B,24-401,ASSAULT & BATTERY,-1040688,NA
2023-00062705,9/19/2023,9/19/2023,1,1,90J,24-505,TRESPASSING,-1040687,NA
2023-00062639,9/19/2023,9/19/2023,1,1,13B,J24-401,JV ASSAULT & BATTERY,-1040686,NA
2023-00062582,9/19/2023,9/19/2023,1,1,290,24-502,MOLESTING PROP,-1040685,NA
2023-00063116,9/21/2023,9/20/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040684,NA
2023-00062964,9/20/2023,9/20/2023,1,1,90I,RUNAWA,RUNAWAY,-1040683,NA
2023-00062670,9/19/2023,9/19/2023,1,1,90J,24-505,TRESPASSING,-1040682,NA
2023-00062929,9/20/2023,9/20/2023,1,1,90Z,24-309,TRUANCY,-1040681,NA
2023-00061527,9/15/2023,9/15/2023,1,2,90Z,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,-1040680,NA
2023-00061527,9/15/2023,9/15/2023,1,1,26C,21-1531,FALSE PERSONATION,-1040679,NA
2023-00063095,9/21/2023,9/20/2023,2,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040678,NA
2023-00063085,9/21/2023,9/20/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1040677,NA
2023-00062363,9/18/2023,9/18/2023,2,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040676,NA
2023-00063077,9/21/2023,9/21/2023,1,1,88A,CWARR,WARRANT-CLEV COUNTY,-1040675,NA
2023-00061576,9/15/2023,9/14/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1040674,NA
2023-00062971,9/20/2023,9/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040673,NA
2023-00062994,9/20/2023,9/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1040672,NA
2023-00062931,9/20/2023,9/15/2023,1,1,23C,21-1705,GRAND LARCENY (SHOPLIFTING),-1040671,NA
2023-00063064,9/21/2023,9/21/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1040670,NA
2023-00062951,9/20/2023,8/21/2023,1,1,26B,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),-1040669,NA
2023-00062965,9/20/2023,8/18/2023,1,1,26E,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (WIRE FRAUD),-1040668,NA
2023-00062967,9/20/2023,9/13/2023,1,1,23D,21-1706,PETIT LARCENY (THEFT FROM BUILDING),-1040667,NA
2023-00062984,9/20/2023,9/20/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1040666,NA
2023-00063026,9/20/2023,9/21/2023,1,1,86S,INTEL - INFO,INTEL INFORMATION,-1040665,NA
2023-00063055,9/20/2023,9/20/2023,1,1,23C,21-1731,LARCENY OF MERCHANDISE FROM RETAILER (SHOPLIFTING),-1040664,NA
2023-00063058,9/21/2023,9/21/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1040663,NA
2023-00062857,9/20/2023,1/1/2016,1,1,11A,21-843.5,"CAUSE/PROCURE/PERMIT ABUSE, NEGLECT, EXPLOITATION, OR SEXUAL ABUSE OF CHILD (FORCIBLE RAPE)",-1040662,NA
2023-00062802,9/20/2023,9/20/2023,1,2,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1040661,NA
