FILENUM,INCIDENT_TYPE,INVOLVMENT,SUBJ_TYPE,SUBJ_INC_NUM,AGE,YRS_EMPL,SEX,RACE,Allegations_SOURCE,ALLEGATION_MADE,FINDING,SERVICE_TYPE,UOF_SOURCE,RESISTANCE_TYPE,SUB_ACT_DESC,UOF_EFFECTIVE,SUBJ_INJ,SUBJ_INJ_HOSP
IAE2018-012,Complaint External--IAE,Officer,Officer,10761,33,8,Male,White,Citizen E-Mail,"Performance - Being untruthful or making false, misleading or malicious statements",Unfounded,NA,NA,NA,NA,NA,NA,NA
IAE2018-012,Complaint External--IAE,Officer,Officer,10761,33,8,Male,White,Citizen E-Mail,Conduct - Threatening or attempting to inflict bodily harm on another,Unfounded,NA,NA,NA,NA,NA,NA,NA
IAE2018-012,Complaint External--IAE,Officer,Officer,10761,33,8,Male,White,Citizen E-Mail,"Performance - Being untruthful or making false, misleading or malicious statements",Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2018-012,Use of force,Officer,Officer,10487,30,4,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Leg Sweep Takedown,Yes,Yes,No
UF2018-012,Use of force,Officer,Officer,10487,30,4,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Taser Use,Yes,Yes,No
UF2018-012,Use of force,Officer,Officer,10488,32,2,Male,Vietnamese,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Leg Sweep Takedown,Yes,Yes,No
UF2018-010,Use of force,Complainant,Citizen,3499,34,NA,Male,White,NA,NA,NA,Welfare Check,NA,Destructive Self/Others,Self-Destructive,n/a,Yes,Yes
UF2018-010,Use of force,Officer,Officer,10517,32,5,Male,Native Am,NA,NA,NA,Welfare Check,NA,Destructive Self/Others,Leg Sweep Takedown,Yes,No,No
UF2018-010,Use of force,Witness,Officer,10518,29,4,Male,Hispanic,NA,NA,NA,Welfare Check,NA,Destructive Self/Others,NA,NA,No,No
IAE2018-013,Complaint External--IAE,Officer,Officer,10766,30,7,Male,White,Citizen E-Mail,Conduct - Unreasonable or unwarranted use of force,Unfounded,NA,NA,NA,NA,NA,NA,NA
IAE2018-013,Complaint External--IAE,Officer,Officer,10766,30,7,Male,White,Citizen E-Mail,Conduct - Unreasonable or unwarranted use of force,Unfounded,NA,NA,NA,NA,NA,NA,NA
UF2018-011,Use of force,Complainant,Citizen,3501,22,NA,Male,Black,NA,NA,NA,Disturbance,Employee,Destructive Self/Others,Active Unarmed,n/a,No,No
UF2018-011,Use of force,Officer,Officer,10522,31,1,Male,White,NA,NA,NA,Disturbance,Employee,Destructive Self/Others,Compliance Hold,Yes,No,No
UF2018-011,Use of force,Witness,Officer,10523,39,2,Female,White,NA,NA,NA,Disturbance,Employee,Destructive Self/Others,NA,NA,No,No
IAE2016-026,Complaint External--IAE,Complainant,Citizen,2872,NA,NA,Male,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-011,Use of force,Witness,Officer,10524,40,2,Male,Asian,NA,NA,NA,Disturbance,Employee,Destructive Self/Others,NA,NA,No,No
UF2018-014,Use of force,Complainant,Citizen,3502,23,NA,Male,Black,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Active Fleeing,n/a,Yes,No
UF2018-014,Use of force,Complainant,Citizen,3502,23,NA,Male,Black,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Active Unarmed,n/a,Yes,No
UF2018-014,Use of force,Witness,Citizen,3503,31,NA,Female,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,NA,n/a,Yes,No
UF2018-014,Use of force,Officer,Officer,10531,43,17,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2018-014,Use of force,Officer,Officer,10531,43,17,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Verbal Commands,Yes,No,No
IQE2016-021,Inquiry External--IQE,Complainant,Citizen,2876,NA,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-028,Complaint External--IAE,Complainant,Citizen,2881,32,NA,Female,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-014,Use of force,Officer,Officer,10529,29,4,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2018-014,Use of force,Officer,Officer,10529,29,4,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Tackle,Yes,No,No
UF2018-014,Use of force,Officer,Officer,10529,29,4,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Verbal Commands,Yes,No,No
IAE2016-028,Complaint External--IAE,Witness,Citizen,2882,38,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-028,Complaint External--IAE,Witness,Citizen,2974,NA,NA,Male,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQE2016-020,Inquiry External--IQE,Complainant,Citizen,2884,NA,NA,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-014,Use of force,Officer,Officer,10530,34,2,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2018-014,Use of force,Officer,Officer,10530,34,2,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Tackle,Yes,No,No
UF2018-014,Use of force,Officer,Officer,10530,34,2,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,Verbal Commands,Yes,No,No
IAE2016-027,Complaint External--IAE,Complainant,Citizen,2885,NA,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-014,Use of force,Witness,Officer,10532,31,5,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,NA,NA,No,No
UF2018-014,Use of force,Witness,Officer,10533,25,2,Male,White,NA,NA,NA,Disturbance,NA,Active Resister Unarmed,NA,NA,No,No
UF2018-015,Use of force,Complainant,Citizen,3505,25,NA,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,Active Armed,n/a,Yes,Yes
UF2018-015,Use of force,Complainant,Citizen,3505,25,NA,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,Active Armed,n/a,Yes,Yes
UF2018-015,Use of force,Complainant,Citizen,3505,25,NA,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,Active Armed,n/a,Yes,Yes
UF2018-015,Use of force,Complainant,Citizen,3505,25,NA,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,Self-Destructive,n/a,Yes,Yes
UF2018-015,Use of force,Complainant,Citizen,3505,25,NA,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,Self-Destructive,n/a,Yes,Yes
UF2018-015,Use of force,Complainant,Citizen,3505,25,NA,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,Self-Destructive,n/a,Yes,Yes
UF2018-015,Use of force,Officer,Officer,10555,33,1,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,Taser Use,Yes,No,No
IAI2016-015,Complaint Internal--IAI,Complainant,Citizen,3084,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-015,Use of force,Witness,Officer,10556,28,3,Male,White,NA,NA,NA,Suicide Attempt,NA,Active Resister Armed,NA,NA,No,No
IAI2016-015,Complaint Internal--IAI,Complainant,Officer,7738,39,16,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-016,Use of force,Complainant,Citizen,3507,NA,NA,Male,Unknown,NA,NA,NA,Suspicious Person,Employee,Active Fleeing,Active Fleeing,n/a,No,No
IAI2016-015,Complaint Internal--IAI,Complainant,Officer,7737,47,19,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-016,Use of force,Witness,Citizen,3508,41,NA,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Fleeing,NA,n/a,No,No
IAI2016-015,Complaint Internal--IAI,Witness,Officer,7739,40,8,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-016,Use of force,Officer,Officer,10570,36,8,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Fleeing,Taser Use,No,No,No
IAI2016-016,Complaint Internal--IAI,Complainant,Citizen,3085,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-017,Use of force,Complainant,Citizen,3521,0,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
UF2018-017,Use of force,Complainant,Citizen,3521,0,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
IAI2016-016,Complaint Internal--IAI,Complainant,Officer,7741,39,16,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-017,Use of force,Officer,Officer,10622,33,9,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Compliance Hold,Yes,No,No
UF2018-017,Use of force,Officer,Officer,10621,33,9,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Tackle,Yes,No,No
UF2018-018,Use of force,Complainant,Citizen,3524,24,NA,Male,White,NA,NA,NA,Disturbance,Employee,Destructive Self/Others,NA,n/a,Yes,Yes
UF2018-018,Use of force,Officer,Officer,10671,38,4,Male,White,NA,NA,NA,Disturbance,Employee,Destructive Self/Others,Taser Use,Yes,No,No
UF2018-044,Use of force,Complainant,Citizen,3529,25,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Active Fleeing,n/a,Yes,Yes
UF2018-044,Use of force,Officer,Officer,11130,50,18,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Taser Use,Yes,No,No
UF2018-044,Use of force,Officer,Officer,10694,36,8,Male,White,NA,NA,NA,Arrest,Employee,Active Fleeing,Taser Use,Yes,No,No
UF2018-020,Use of force,Complainant,Citizen,3535,59,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,No
UF2018-020,Use of force,Complainant,Citizen,3535,59,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,No
IAE2016-037,Complaint External--IAE,Complainant,Citizen,2911,NA,NA,Male,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-037,Complaint External--IAE,Complainant,Citizen,2912,22,NA,Male,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-020,Use of force,Witness,Citizen,3536,57,NA,Female,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,n/a,Yes,No
IAE2016-037,Complaint External--IAE,Witness,Officer,7759,26,1,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-020,Use of force,Officer,Officer,10709,48,4,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
IAI2016-017,Complaint Internal--IAI,Complainant,Citizen,3086,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-020,Use of force,Witness,Officer,10710,34,5,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,NA,No,No
IAI2016-017,Complaint Internal--IAI,Complainant,Officer,7765,45,22,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-021,Use of force,Complainant,Citizen,3537,38,NA,Male,White,NA,NA,NA,Warrant Service,Employee,Active Resister Unarmed,NA,n/a,Yes,Yes
IAI2016-017,Complaint Internal--IAI,Witness,Officer,7767,40,14,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-021,Use of force,Officer,Officer,10711,33,3,Male,White,NA,NA,NA,Warrant Service,Employee,Active Resister Unarmed,Vascular Restraint,Yes,Yes,No
IAI2016-017,Complaint Internal--IAI,Witness,Officer,7768,53,24,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-021,Use of force,Officer,Officer,10712,31,1,Male,White,NA,NA,NA,Warrant Service,Employee,Active Resister Unarmed,Compliance Hold,Limited,Yes,No
IQE2016-024,Inquiry External--IQE,Complainant,Citizen,2924,NA,NA,Female,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-039,Use of force,Complainant,Citizen,3538,23,NA,Male,White,NA,NA,NA,Barricaded Person,Employee,Active Resister Unarmed,Passive Non Compliant,n/a,No,Yes
IQE2016-025,Inquiry External--IQE,Complainant,Citizen,2925,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-039,Use of force,Officer,Officer,10713,30,3,Male,White,NA,NA,NA,Barricaded Person,Employee,Active Resister Unarmed,Taser Use,Yes,No,No
UF2018-039,Use of force,Witness,Officer,10715,40,13,Male,White,NA,NA,NA,Barricaded Person,Employee,Active Resister Unarmed,NA,NA,No,No
UF2018-039,Use of force,Witness,Officer,10716,36,13,Male,White,NA,NA,NA,Barricaded Person,Employee,Active Resister Unarmed,NA,NA,No,No
UF2018-039,Use of force,Witness,Officer,10714,35,3,Male,White,NA,NA,NA,Barricaded Person,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-030,Complaint External--IAE,Complainant,Citizen,2927,NA,NA,Male,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-022,Use of force,Complainant,Citizen,3539,27,NA,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Active Fleeing,n/a,Yes,Yes
UF2018-022,Use of force,Complainant,Citizen,3539,27,NA,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
IAE2016-030,Complaint External--IAE,Witness,Citizen,2928,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-022,Use of force,Officer,Officer,10717,30,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Leg Sweep Takedown,Yes,Yes,No
UF2018-022,Use of force,Officer,Officer,10717,30,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Tackle,Yes,Yes,No
UF2018-022,Use of force,Witness,Officer,10718,29,3,Male,Black,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,NA,NA,Yes,No
UF2018-019,Use of force,Complainant,Citizen,3540,26,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,No
IQE2016-026,Inquiry External--IQE,Complainant,Citizen,2939,NA,NA,Female,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-019,Use of force,Officer,Officer,10720,32,5,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
IQE2016-026,Inquiry External--IQE,Witness,Officer,7819,36,14,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-019,Use of force,Officer,Officer,10719,31,1,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
IAE2016-029,Complaint External--IAE,Complainant,Citizen,2941,29,NA,Male,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-061,Use of force,Complainant,Citizen,3542,49,NA,Male,White,NA,NA,NA,Warrant Service,Employee,Active Resister Unarmed,Active Fleeing,n/a,Yes,Yes
UF2018-061,Use of force,Officer,Officer,10726,41,9,Male,White,NA,NA,NA,Warrant Service,Employee,Active Resister Unarmed,Tackle,Yes,No,No
UF2018-061,Use of force,Witness,Officer,10727,33,9,Male,White,NA,NA,NA,Warrant Service,Employee,Active Resister Unarmed,NA,NA,No,No
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,Yes
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,Yes
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,Yes
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,Yes
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Passive Non Compliant,n/a,No,Yes
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Passive Non Compliant,n/a,No,Yes
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Passive Non Compliant,n/a,No,Yes
UF2018-023,Use of force,Complainant,Citizen,3544,27,NA,Female,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Passive Non Compliant,n/a,No,Yes
IQE2016-027,Inquiry External--IQE,Complainant,Citizen,2945,NA,NA,Female,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-031,Complaint External--IAE,Complainant,Citizen,2947,22,NA,Male,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-031,Complaint External--IAE,Witness,Officer,7853,30,3,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Compliance Hold,Yes,No,No
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Restraint Device,No,No,No
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Restraint Device,No,No,No
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Verbal Commands,No,No,No
UF2018-023,Use of force,Officer,Officer,10733,35,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,Verbal Commands,No,No,No
IQI2016-004,Inquiry Internal--IQI,Complainant,Citizen,3095,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQI2016-004,Inquiry Internal--IQI,Complainant,Officer,7880,31,4,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQI2016-004,Inquiry Internal--IQI,Witness,Officer,7882,52,24,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQI2016-004,Inquiry Internal--IQI,Witness,Officer,7875,45,17,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQI2016-004,Inquiry Internal--IQI,Witness,Officer,7877,55,19,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQI2016-004,Inquiry Internal--IQI,Witness,Officer,7876,45,22,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-023,Use of force,Witness,Officer,10737,38,9,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,NA,NA,No,No
IQI2016-004,Inquiry Internal--IQI,Witness,Officer,7881,36,7,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-023,Use of force,Witness,Officer,10736,34,9,Male,Black,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,NA,NA,No,No
IQI2016-004,Inquiry Internal--IQI,Witness,Officer,7878,54,2,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-023,Use of force,Witness,Officer,10734,33,3,Male,White,NA,NA,NA,Suspicious Person,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-032,Complaint External--IAE,Complainant,Citizen,2953,42,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-024,Use of force,Complainant,Citizen,3552,53,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2018-024,Use of force,Complainant,Citizen,3552,53,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
IAE2016-015,Complaint External--IAE,Complainant,Citizen,2956,46,NA,Female,Native Am,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-015,Complaint External--IAE,Witness,Officer,7903,32,6,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-024,Use of force,Officer,Officer,10782,34,9,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Taser Use,Yes,No,No
UF2018-025,Use of force,Complainant,Citizen,3553,42,NA,Male,Hispanic,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Active Fleeing,n/a,No,Yes
UF2018-025,Use of force,Officer,Officer,10788,28,2,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Tackle,Yes,No,No
UF2018-025,Use of force,Officer,Officer,10788,28,2,Male,White,NA,NA,NA,Foot Pursuit,Employee,Active Fleeing,Taser Use,No,No,No
UF2018-026,Use of force,Complainant,Citizen,3555,22,NA,Male,Hispanic,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,n/a,Yes,Yes
UF2018-026,Use of force,Officer,Officer,10795,28,2,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Leg Sweep Takedown,Yes,No,No
UF2018-026,Use of force,Witness,Officer,10796,38,10,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,NA,No,No
UF2018-026,Use of force,Witness,Officer,10797,27,1,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,NA,NA,No,No
UF2018-027,Use of force,Complainant,Citizen,3556,45,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2018-027,Use of force,Officer,Officer,10798,29,5,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Arm Bar Takedown,No,No,No
UF2018-027,Use of force,Officer,Officer,10798,29,5,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Strike w/ hand-foot-etc.,No,No,No
UF2018-027,Use of force,Officer,Officer,10798,29,5,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Taser Use,Yes,No,No
IAE2016-033,Complaint External--IAE,Complainant,Citizen,2970,36,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-033,Complaint External--IAE,Witness,Citizen,2971,NA,NA,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IAE2016-033,Complaint External--IAE,Witness,Officer,7973,36,1,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-027,Use of force,Witness,Officer,10800,37,9,Female,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-033,Complaint External--IAE,Witness,Officer,7974,28,1,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-027,Use of force,Witness,Officer,10799,31,9,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,NA,NA,No,No
UF2018-031,Use of force,Complainant,Citizen,3557,34,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2018-031,Use of force,Complainant,Citizen,3557,34,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2018-031,Use of force,Complainant,Citizen,3557,34,NA,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Active Unarmed,n/a,Yes,Yes
UF2018-031,Use of force,Officer,Officer,10802,38,9,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
UF2018-031,Use of force,Officer,Officer,10801,36,7,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
IQE2016-028,Inquiry External--IQE,Complainant,Citizen,2977,NA,NA,Female,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-031,Use of force,Witness,Officer,10803,49,7,Male,White,NA,NA,NA,Arrest,Employee,Active Resister Unarmed,NA,NA,No,No
IAE2016-034,Complaint External--IAE,Complainant,Citizen,2978,NA,NA,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-029,Use of force,Complainant,Citizen,3561,25,NA,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Self-Destructive,n/a,Yes,Yes
IAI2016-018,Complaint Internal--IAI,Complainant,Citizen,3087,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-029,Use of force,Officer,Officer,10815,32,2,Male,Vietnamese,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Taser Pointing,No,No,No
UF2018-029,Use of force,Officer,Officer,10815,32,2,Male,Vietnamese,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Taser Use,Yes,No,No
IAI2016-018,Complaint Internal--IAI,Complainant,Officer,8089,44,7,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQI2016-005,Inquiry Internal--IQI,Complainant,Citizen,3096,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-032,Use of force,Complainant,Citizen,3563,34,NA,Female,White,NA,NA,NA,Disturbance,Employee,No Force (Complaint of Inj),NA,n/a,Yes,Yes
IQI2016-005,Inquiry Internal--IQI,Complainant,Officer,8048,32,6,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-032,Use of force,Officer,Officer,10821,47,12,Male,White,NA,NA,NA,Disturbance,Employee,No Force (Complaint of Inj),N/A (Complaint Only),Yes,No,No
IQI2016-005,Inquiry Internal--IQI,Witness,Officer,8049,36,7,Male,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-032,Use of force,Officer,Officer,10889,32,5,Male,White,NA,NA,NA,Disturbance,Employee,No Force (Complaint of Inj),N/A (Complaint Only),Yes,No,No
IAE2016-038,Complaint External--IAE,Complainant,Citizen,2997,44,NA,Male,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-028,Use of force,Complainant,Citizen,3564,34,NA,Male,Native Am,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Active Unarmed,n/a,No,Yes
IAE2016-038,Complaint External--IAE,Witness,Officer,8055,27,3,Female,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF2018-028,Use of force,Officer,Officer,10822,32,5,Male,White,NA,NA,NA,Disturbance,Employee,Active Resister Unarmed,Arm Bar Takedown,Yes,No,No
IAE2017-041,Complaint External--IAE,Officer,Officer,9659,47,3,Male,White,Employee,"Conduct - Discourteous, disrespectful or discriminatory treatment of public",Sustained,NA,NA,NA,NA,NA,NA,NA
UF2018-033,Use of force,Complainant,Citizen,3578,18,NA,Male,White,NA,NA,NA,Suicide Attempt,Employee,Destructive Self/Others,Active Armed,n/a,Yes,Yes
