AccidentNumber,AccidentDatetime,UnitNumber,UnitSubjectNumber,Description,Sev_Num
2016-00005882,1/27/2016 20:01,2,1,Possible,4
2016-00004699,1/22/2016 22:23,1,1,No Injury,3
2016-00004699,1/22/2016 22:23,2,1,No Injury,3
2016-00004699,1/22/2016 22:23,2,2,No Injury,3
2016-00005396,1/25/2016 15:59,1,1,No Injury,3
2016-00005396,1/25/2016 15:59,2,1,No Injury,3
2016-00009311,1/11/2016 7:51,1,1,No Injury,3
2016-00009311,1/11/2016 7:51,1,2,No Injury,3
2016-00009311,1/11/2016 7:51,2,1,No Injury,3
2016-00009311,1/11/2016 7:51,2,2,No Injury,3
2016-00006845,1/31/2016 23:44,1,1,No Injury,3
2016-00006845,1/31/2016 23:44,2,1,No Injury,3
2016-00003552,1/17/2016 22:16,1,1,Non-Incapacitating,5
2016-00003552,1/17/2016 22:16,1,2,Non-Incapacitating,5
2016-00003552,1/17/2016 22:16,1,3,Non-Incapacitating,5
2016-00003552,1/17/2016 22:16,1,5,Non-Incapacitating,5
2016-00003552,1/17/2016 22:16,1,6,Non-Incapacitating,5
2016-00003552,1/17/2016 22:16,1,4,Incapacitating,6
2016-00001269,1/7/2016 11:13,1,1,No Injury,3
2016-00001269,1/7/2016 11:13,2,1,No Injury,3
2016-00001269,1/7/2016 11:13,2,2,No Injury,3
2016-00006420,1/30/2016 2:15,1,1,No Injury,3
2016-00006420,1/30/2016 2:15,1,2,Non-Incapacitating,5
2017-00004381,1/20/2016 18:07,2,1,No Injury,3
2017-00004381,1/20/2016 18:07,1,1,Possible,4
2017-00004381,1/20/2016 18:07,1,2,Non-Incapacitating,5
2017-00000281,1/2/2017 9:57,1,1,No Injury,3
2017-00000281,1/2/2017 9:57,2,1,No Injury,3
2017-00000499,1/3/2017 13:10,1,1,No Injury,3
2017-00000499,1/3/2017 13:10,2,1,No Injury,3
2017-00000187,1/1/2017 21:04,1,1,No Injury,3
2017-00000187,1/1/2017 21:04,2,1,No Injury,3
2017-00000732,1/4/2017 15:07,1,1,No Injury,3
2017-00000732,1/4/2017 15:07,2,1,No Injury,3
2017-00000723,1/4/2017 14:12,2,1,Not Applicable,1
2017-00000723,1/4/2017 14:12,3,1,Not Applicable,1
2017-00000723,1/4/2017 14:12,1,1,Unknown,2
2017-00000572,1/3/2017 18:11,1,1,No Injury,3
2017-00000572,1/3/2017 18:11,2,1,No Injury,3
2017-00000572,1/3/2017 18:11,3,1,No Injury,3
2017-00000647,1/4/2017 7:20,1,1,No Injury,3
2017-00000647,1/4/2017 7:20,2,2,No Injury,3
2017-00000647,1/4/2017 7:20,2,1,Possible,4
2017-00000849,1/5/2017 8:47,1,2,Not Applicable,1
2017-00000849,1/5/2017 8:47,1,1,No Injury,3
2017-00000849,1/5/2017 8:47,2,1,No Injury,3
2017-00000355,1/2/2017 17:08,2,1,No Injury,3
2017-00000355,1/2/2017 17:08,1,1,Non-Incapacitating,5
2017-00001081,1/6/2017 10:18,1,1,No Injury,3
2017-00001081,1/6/2017 10:18,2,1,No Injury,3
2017-00001081,1/6/2017 10:18,2,2,No Injury,3
2017-00001081,1/6/2017 10:18,2,3,No Injury,3
2017-00000361,1/2/2017 17:53,1,2,No Injury,3
2017-00000361,1/2/2017 17:53,2,1,No Injury,3
2017-00000361,1/2/2017 17:53,2,3,No Injury,3
2017-00000361,1/2/2017 17:53,2,4,No Injury,3
2017-00000361,1/2/2017 17:53,1,1,Possible,4
2017-00000361,1/2/2017 17:53,2,2,Possible,4
2017-00000030,1/1/2017 1:28,1,1,Not Applicable,1
2017-00000030,1/1/2017 1:28,2,1,No Injury,3
2017-00000030,1/1/2017 1:28,1,2,Non-Incapacitating,5
2017-00000393,1/2/2017 22:01,2,1,Not Applicable,1
2017-00000393,1/2/2017 22:01,3,1,Not Applicable,1
2017-00000393,1/2/2017 22:01,1,1,No Injury,3
2017-00000393,1/2/2017 22:01,1,2,No Injury,3
2017-00000550,1/3/2017 16:17,1,1,No Injury,3
2017-00000550,1/3/2017 16:17,2,1,No Injury,3
2017-00000554,1/3/2017 16:39,1,1,No Injury,3
2017-00000554,1/3/2017 16:39,2,1,No Injury,3
2017-00000556,1/3/2017 16:30,2,1,Not Applicable,1
2017-00000556,1/3/2017 16:30,1,1,Unknown,2
2017-00000651,1/4/2017 8:33,1,1,No Injury,3
2017-00000651,1/4/2017 8:33,1,2,No Injury,3
2017-00000651,1/4/2017 8:33,1,3,No Injury,3
2017-00000651,1/4/2017 8:33,2,1,No Injury,3
2017-00000651,1/4/2017 8:33,2,2,No Injury,3
2017-00000738,1/4/2017 15:26,1,1,No Injury,3
2017-00000738,1/4/2017 15:26,3,1,No Injury,3
2017-00000738,1/4/2017 15:26,2,1,Possible,4
2017-00000742,1/4/2017 15:29,1,1,No Injury,3
2017-00000742,1/4/2017 15:29,2,1,No Injury,3
2017-00000776,1/4/2017 18:13,1,1,No Injury,3
2017-00000776,1/4/2017 18:13,2,1,No Injury,3
2017-00000927,1/5/2017 15:15,1,1,No Injury,3
2017-00000927,1/5/2017 15:15,2,1,No Injury,3
2017-00000927,1/5/2017 15:15,3,1,No Injury,3
2017-00000927,1/5/2017 15:15,3,2,No Injury,3
2017-00001220,1/7/2017 1:10,1,1,No Injury,3
2017-00001220,1/7/2017 1:10,1,2,No Injury,3
2017-00001121,1/6/2017 14:01,1,1,No Injury,3
2017-00001121,1/6/2017 14:01,2,1,No Injury,3
2017-00000908,1/5/2017 13:39,2,1,Not Applicable,1
2017-00000908,1/5/2017 13:39,1,1,No Injury,3
2017-00001161,1/6/2017 17:53,1,1,No Injury,3
2017-00001161,1/6/2017 17:53,2,1,Possible,4
2017-00001161,1/6/2017 17:53,2,2,Possible,4
2017-00000298,1/2/2017 12:12,1,1,No Injury,3
2017-00000298,1/2/2017 12:12,2,1,No Injury,3
2017-00001060,1/6/2017 8:25,1,1,No Injury,3
2017-00001060,1/6/2017 8:25,2,1,No Injury,3
2017-00001060,1/6/2017 8:25,2,2,No Injury,3
2017-00001060,1/6/2017 8:25,2,3,No Injury,3
2017-00001143,1/6/2017 15:18,1,1,No Injury,3
2017-00001143,1/6/2017 15:18,2,1,No Injury,3
2017-00001537,1/8/2017 16:56,1,1,Possible,4
2017-00001537,1/8/2017 16:56,2,1,Possible,4
2017-00001562,1/8/2017 18:45,1,1,No Injury,3
2017-00001562,1/8/2017 18:45,2,1,No Injury,3
2017-00001562,1/8/2017 18:45,2,2,No Injury,3
2017-00001550,1/8/2017 17:56,1,1,No Injury,3
2017-00001550,1/8/2017 17:56,2,1,No Injury,3
2017-00001550,1/8/2017 17:56,2,2,No Injury,3
2017-00001712,1/9/2017 13:35,2,1,No Injury,3
2017-00001712,1/9/2017 13:35,1,1,Possible,4
2017-00001693,1/9/2017 12:29,1,1,No Injury,3
2017-00001693,1/9/2017 12:29,1,2,No Injury,3
2017-00001693,1/9/2017 12:29,2,1,No Injury,3
2017-00001693,1/9/2017 12:29,3,1,No Injury,3
2017-00001649,1/9/2017 8:42,1,1,No Injury,3
2017-00001649,1/9/2017 8:42,2,1,Possible,4
2017-00001633,1/9/2017 6:52,1,1,No Injury,3
2017-00001633,1/9/2017 6:52,3,1,No Injury,3
2017-00001633,1/9/2017 6:52,2,1,Non-Incapacitating,5
2017-00000562,1/3/2017 17:26,1,1,Unknown,2
2017-00000562,1/3/2017 17:26,2,1,No Injury,3
2017-00000562,1/3/2017 17:26,2,2,No Injury,3
2017-00001591,1/8/2017 22:06,1,1,No Injury,3
2017-00001591,1/8/2017 22:06,2,1,No Injury,3
2017-00001591,1/8/2017 22:06,3,1,No Injury,3
2017-00001540,1/8/2017 17:13,1,1,No Injury,3
2017-00001540,1/8/2017 17:13,2,1,No Injury,3
2017-00001945,1/10/2017 14:12,1,1,No Injury,3
2017-00001945,1/10/2017 14:12,2,1,No Injury,3
2017-00000455,1/3/2017 9:13,1,1,No Injury,3
2017-00000455,1/3/2017 9:13,3,1,No Injury,3
2017-00000455,1/3/2017 9:13,2,1,Possible,4
2017-00001876,1/10/2017 8:05,1,1,No Injury,3
2017-00001876,1/10/2017 8:05,2,1,No Injury,3
2017-00001886,1/10/2017 9:02,1,1,No Injury,3
2017-00001886,1/10/2017 9:02,1,2,No Injury,3
2017-00001886,1/10/2017 9:02,2,1,Incapacitating,6
2017-00002107,1/11/2017 7:03,1,1,No Injury,3
2017-00002110,1/11/2017 7:50,1,1,No Injury,3
2017-00002110,1/11/2017 7:50,2,1,No Injury,3
2017-00002148,1/11/2017 11:24,1,1,No Injury,3
2017-00002148,1/11/2017 11:24,2,1,No Injury,3
2017-00002148,1/11/2017 11:24,2,2,No Injury,3
2017-00002195,1/11/2017 14:50,1,1,Possible,4
2017-00002195,1/11/2017 14:50,2,1,Possible,4
2017-00002203,1/11/2017 15:14,1,1,No Injury,3
2017-00002203,1/11/2017 15:14,1,2,No Injury,3
2017-00002203,1/11/2017 15:14,2,1,No Injury,3
2017-00002215,1/11/2017 15:56,1,1,No Injury,3
2017-00002215,1/11/2017 15:56,2,1,No Injury,3
2017-00002215,1/11/2017 15:56,2,2,No Injury,3
2017-00002215,1/11/2017 15:56,3,1,No Injury,3
2017-00002229,1/11/2017 16:53,1,1,No Injury,3
2017-00002229,1/11/2017 16:53,2,1,No Injury,3
2017-00002229,1/11/2017 16:53,3,1,No Injury,3
2017-00002394,1/12/2017 10:22,2,1,Not Applicable,1
2017-00002394,1/12/2017 10:22,1,1,Unknown,2
2017-00002207,1/11/2017 14:50,1,1,Possible,4
2017-00002207,1/11/2017 14:50,2,3,Possible,4
2017-00002207,1/11/2017 14:50,2,1,Non-Incapacitating,5
2017-00002207,1/11/2017 14:50,2,2,Non-Incapacitating,5
2017-00002029,1/9/2017 20:50,1,1,Unknown,2
2017-00002029,1/9/2017 20:50,2,1,Non-Incapacitating,5
2017-00002453,1/12/2017 14:49,1,1,No Injury,3
2017-00002453,1/12/2017 14:49,2,1,No Injury,3
2017-00002487,1/12/2017 17:03,1,1,No Injury,3
2017-00002487,1/12/2017 17:03,2,2,No Injury,3
2017-00002487,1/12/2017 17:03,2,1,Possible,4
2017-00002500,1/12/2017 18:02,1,1,No Injury,3
2017-00002500,1/12/2017 18:02,2,1,No Injury,3
2017-00002500,1/12/2017 18:02,2,2,Possible,4
2017-00002373,1/12/2017 8:58,1,1,No Injury,3
2017-00002373,1/12/2017 8:58,1,2,No Injury,3
2017-00002373,1/12/2017 8:58,2,1,No Injury,3
2017-00001103,1/6/2017 12:48,1,1,No Injury,3
2017-00001103,1/6/2017 12:48,2,1,No Injury,3
2017-00001103,1/6/2017 12:48,2,2,No Injury,3
2017-00001103,1/6/2017 12:48,3,1,No Injury,3
2017-00001103,1/6/2017 12:48,3,2,No Injury,3
2017-00002162,1/11/2017 12:30,1,1,No Injury,3
2017-00002162,1/11/2017 12:30,2,1,No Injury,3
2017-00002162,1/11/2017 12:30,3,1,No Injury,3
2017-00002162,1/11/2017 12:30,4,1,No Injury,3
2017-00002162,1/11/2017 12:30,4,2,No Injury,3
2017-00002162,1/11/2017 12:30,4,3,No Injury,3
2017-00002162,1/11/2017 12:30,4,4,No Injury,3
2017-00002162,1/11/2017 12:30,4,5,No Injury,3
2017-00002708,1/13/2017 15:50,1,1,Incapacitating,6
2017-00002663,1/13/2017 13:18,1,1,Possible,4
2017-00002663,1/13/2017 13:18,2,1,Possible,4
2017-00002461,1/12/2017 15:19,1,1,No Injury,3
2017-00002461,1/12/2017 15:19,1,2,No Injury,3
2017-00002461,1/12/2017 15:19,1,3,No Injury,3
2017-00002461,1/12/2017 15:19,2,1,No Injury,3
2017-00002175,1/11/2017 13:13,1,1,No Injury,3
2017-00002175,1/11/2017 13:13,2,1,No Injury,3
2017-00002564,1/12/2017 23:21,1,1,No Injury,3
2017-00001567,1/8/2017 19:24,1,1,No Injury,3
2017-00001567,1/8/2017 19:24,1,2,No Injury,3
2017-00001567,1/8/2017 19:24,2,1,No Injury,3
2017-00001567,1/8/2017 19:24,2,2,No Injury,3
2017-00002025,1/10/2017 19:28,1,1,No Injury,3
2017-00002025,1/10/2017 19:28,2,1,No Injury,3
2017-00001924,1/10/2017 12:39,1,1,No Injury,3
2017-00001924,1/10/2017 12:39,2,1,No Injury,3
2017-00001924,1/10/2017 12:39,3,1,Possible,4
2017-00003034,1/15/2017 11:37,1,1,No Injury,3
2017-00003034,1/15/2017 11:37,1,2,No Injury,3
2017-00003034,1/15/2017 11:37,2,1,No Injury,3
2017-00003034,1/15/2017 11:37,2,2,No Injury,3
2017-00003086,1/15/2017 17:53,1,1,No Injury,3
2017-00003086,1/15/2017 17:53,2,1,No Injury,3
2017-00003086,1/15/2017 17:53,2,2,No Injury,3
2017-00003086,1/15/2017 17:53,3,1,No Injury,3
2017-00002930,1/14/2017 20:18,1,1,Unknown,2
2017-00002930,1/14/2017 20:18,2,1,No Injury,3
2017-00002870,1/14/2017 14:35,1,1,Not Applicable,1
2017-00002870,1/14/2017 14:35,1,2,No Injury,3
2017-00002870,1/14/2017 14:35,2,1,No Injury,3
2017-00002789,1/14/2017 2:30,1,1,No Injury,3
2017-00002789,1/14/2017 2:30,1,2,No Injury,3
2017-00002789,1/14/2017 2:30,1,3,No Injury,3
2017-00002627,1/13/2017 8:57,1,1,No Injury,3
2017-00002627,1/13/2017 8:57,1,2,No Injury,3
2017-00002627,1/13/2017 8:57,2,1,No Injury,3
2017-00001776,1/9/2017 18:04,1,1,No Injury,3
2017-00001776,1/9/2017 18:04,2,1,No Injury,3
2017-00002212,1/11/2017 15:53,1,1,No Injury,3
2017-00002212,1/11/2017 15:53,2,1,No Injury,3
2017-00002720,1/13/2017 16:28,1,1,No Injury,3
2017-00002720,1/13/2017 16:28,2,1,No Injury,3
2017-00003174,1/15/2017 21:00,1,1,No Injury,3
2017-00003281,1/16/2017 15:33,1,1,No Injury,3
2017-00003281,1/16/2017 15:33,1,2,No Injury,3
2017-00003281,1/16/2017 15:33,2,1,No Injury,3
2017-00003293,1/16/2017 16:35,1,1,No Injury,3
2017-00003293,1/16/2017 16:35,2,1,Possible,4
2017-00003299,1/16/2017 16:49,1,1,No Injury,3
2017-00003299,1/16/2017 16:49,2,1,No Injury,3
2017-00003299,1/16/2017 16:49,2,2,No Injury,3
2017-00003299,1/16/2017 16:49,3,1,No Injury,3
2017-00003299,1/16/2017 16:49,3,2,No Injury,3
2017-00003299,1/16/2017 16:49,3,3,No Injury,3
2017-00003299,1/16/2017 16:49,3,4,No Injury,3
2017-00003288,1/16/2017 15:20,1,1,No Injury,3
2017-00003288,1/16/2017 15:20,2,1,No Injury,3
2017-00003309,1/16/2017 17:39,1,1,No Injury,3
2017-00003309,1/16/2017 17:39,2,1,No Injury,3
2017-00001541,1/8/2017 17:10,1,1,No Injury,3
2017-00003321,1/16/2017 18:24,1,1,No Injury,3
2017-00003321,1/16/2017 18:24,2,1,Possible,4
2017-00003474,1/17/2017 10:39,1,1,No Injury,3
2017-00003474,1/17/2017 10:39,1,2,No Injury,3
2017-00003474,1/17/2017 10:39,2,1,Possible,4
2017-00003602,1/17/2017 19:39,1,1,No Injury,3
2017-00003602,1/17/2017 19:39,2,1,No Injury,3
2017-00003602,1/17/2017 19:39,2,2,No Injury,3
2017-00003602,1/17/2017 19:39,3,1,Possible,4
2017-00003476,1/17/2017 10:45,1,1,No Injury,3
2017-00003476,1/17/2017 10:45,2,1,No Injury,3
2017-00003476,1/17/2017 10:45,2,2,No Injury,3
2017-00003564,1/18/2017 16:31,1,1,No Injury,3
2017-00003564,1/18/2017 16:31,1,2,No Injury,3
2017-00003564,1/18/2017 16:31,1,3,No Injury,3
2017-00003564,1/18/2017 16:31,1,4,No Injury,3
2017-00003564,1/18/2017 16:31,2,1,No Injury,3
2017-00003593,1/17/2017 18:49,2,1,No Injury,3
2017-00003593,1/17/2017 18:49,2,2,No Injury,3
2017-00003593,1/17/2017 18:49,1,1,Non-Incapacitating,5
2017-00003681,1/18/2017 7:51,1,1,No Injury,3
2017-00003681,1/18/2017 7:51,2,1,No Injury,3
2017-00003681,1/18/2017 7:51,2,2,No Injury,3
2017-00003733,1/18/2017 11:02,1,1,No Injury,3
2017-00003733,1/18/2017 11:02,2,1,No Injury,3
2017-00003817,1/18/2017 16:38,2,1,No Injury,3
2017-00003817,1/18/2017 16:38,2,2,No Injury,3
2017-00003817,1/18/2017 16:38,1,1,Possible,4
2017-00002184,1/11/2017 13:37,1,1,Not Applicable,1
2017-00002184,1/11/2017 13:37,3,1,Not Applicable,1
2017-00002184,1/11/2017 13:37,2,1,No Injury,3
2017-00003969,1/19/2017 9:21,1,1,No Injury,3
2017-00003969,1/19/2017 9:21,2,1,No Injury,3
2017-00004005,1/19/2017 11:37,1,1,No Injury,3
2017-00004005,1/19/2017 11:37,2,1,No Injury,3
2017-00004006,1/19/2017 10:00,1,1,Unknown,2
2017-00004006,1/19/2017 10:00,2,1,No Injury,3
2017-00004140,1/19/2017 20:49,1,1,No Injury,3
2017-00004140,1/19/2017 20:49,2,1,No Injury,3
2017-00003831,1/18/2017 17:25,1,1,No Injury,3
2017-00003831,1/18/2017 17:25,1,2,No Injury,3
2017-00003831,1/18/2017 17:25,2,1,No Injury,3
2017-00003831,1/18/2017 17:25,2,2,No Injury,3
2017-00004119,1/19/2017 19:10,1,1,No Injury,3
2017-00004119,1/19/2017 19:10,2,1,No Injury,3
2017-00004119,1/19/2017 19:10,2,2,No Injury,3
2017-00004119,1/19/2017 19:10,3,1,No Injury,3
2017-00004119,1/19/2017 19:10,3,2,No Injury,3
2017-00004285,1/20/2017 12:07,1,1,No Injury,3
2017-00004285,1/20/2017 12:07,2,1,No Injury,3
2017-00004248,1/20/2017 9:36,1,1,No Injury,3
2017-00004248,1/20/2017 9:36,2,1,No Injury,3
2017-00004821,1/22/2017 13:01,1,1,No Injury,3
2017-00004821,1/22/2017 13:01,2,1,No Injury,3
2017-00004821,1/22/2017 13:01,2,2,No Injury,3
2017-00004821,1/22/2017 13:01,2,3,No Injury,3
2017-00004302,1/20/2017 13:11,1,1,Non-Incapacitating,5
2017-00004302,1/20/2017 13:11,1,2,Non-Incapacitating,5
2017-00004302,1/20/2017 13:11,2,1,Non-Incapacitating,5
2017-00004533,1/20/2017 9:59,1,1,Unknown,2
2017-00004699,1/21/2017 22:39,1,1,Non-Incapacitating,5
2017-00004962,1/22/2017 22:50,1,1,No Injury,3
2017-00005158,1/23/2017 17:29,1,1,No Injury,3
2017-00005158,1/23/2017 17:29,1,2,No Injury,3
2017-00005158,1/23/2017 17:29,1,3,No Injury,3
2017-00005158,1/23/2017 17:29,2,1,No Injury,3
2017-00003508,1/17/2017 13:28,1,1,No Injury,3
2017-00003508,1/17/2017 13:28,1,2,No Injury,3
2017-00003508,1/17/2017 13:28,2,1,No Injury,3
2017-00005226,1/23/2017 22:12,1,1,No Injury,3
2017-00005226,1/23/2017 22:12,2,1,No Injury,3
2017-00005226,1/23/2017 22:12,2,2,No Injury,3
2017-00004278,1/20/2017 12:04,1,1,No Injury,3
2017-00005307,1/24/2017 8:24,1,1,No Injury,3
2017-00005307,1/24/2017 8:24,2,1,No Injury,3
2017-00005307,1/24/2017 8:24,2,2,Possible,4
2017-00003786,1/18/2017 14:44,1,1,No Injury,3
2017-00003786,1/18/2017 14:44,2,1,Possible,4
2017-00003786,1/18/2017 14:44,3,1,Possible,4
2017-00005378,1/24/2017 15:11,1,1,No Injury,3
2017-00005378,1/24/2017 15:11,1,2,No Injury,3
2017-00005378,1/24/2017 15:11,1,3,No Injury,3
2017-00005378,1/24/2017 15:11,1,4,No Injury,3
2017-00005378,1/24/2017 15:11,2,1,No Injury,3
2017-00005397,1/24/2017 16:27,1,1,No Injury,3
2017-00005397,1/24/2017 16:27,1,2,No Injury,3
2017-00005397,1/24/2017 16:27,2,1,No Injury,3
2017-00005423,1/24/2017 19:05,2,1,Not Applicable,1
2017-00005423,1/24/2017 19:05,1,1,Unknown,2
2017-00005447,1/24/2017 20:46,1,1,No Injury,3
2017-00005447,1/24/2017 20:46,2,1,No Injury,3
2017-00005447,1/24/2017 20:46,2,3,No Injury,3
2017-00005447,1/24/2017 20:46,2,2,Non-Incapacitating,5
2017-00005514,1/25/2017 8:09,1,1,No Injury,3
2017-00005514,1/25/2017 8:09,2,1,Possible,4
2017-00005525,1/25/2017 9:05,1,1,No Injury,3
2017-00005525,1/25/2017 9:05,2,1,Possible,4
2017-00005390,1/24/2017 16:03,1,1,No Injury,3
2017-00005390,1/24/2017 16:03,2,1,No Injury,3
2017-00005390,1/24/2017 16:03,3,1,No Injury,3
2017-00005390,1/24/2017 16:03,3,2,No Injury,3
2017-00003513,1/17/2017 13:42,1,1,No Injury,3
2017-00003513,1/17/2017 13:42,2,1,No Injury,3
2017-00005615,1/25/2017 14:58,2,1,No Injury,3
2017-00005615,1/25/2017 14:58,1,1,Possible,4
2017-00005664,1/25/2017 18:47,2,1,No Injury,3
2017-00005664,1/25/2017 18:47,1,1,Non-Incapacitating,5
2017-00005669,1/25/2017 19:13,2,1,Not Applicable,1
2017-00005669,1/25/2017 19:13,1,1,Unknown,2
2017-00005994,1/26/2017 23:18,1,1,No Injury,3
2017-00005994,1/26/2017 23:18,2,1,No Injury,3
2017-00005794,1/26/2017 8:42,1,1,No Injury,3
2017-00005794,1/26/2017 8:42,2,1,No Injury,3
2017-00005794,1/26/2017 8:42,2,2,No Injury,3
2017-00005523,1/25/2017 8:55,1,1,No Injury,3
2017-00005460,1/24/2017 21:56,1,1,Unknown,2
2017-00005460,1/24/2017 21:56,2,1,No Injury,3
2017-00005460,1/24/2017 21:56,2,2,No Injury,3
2017-00005460,1/24/2017 21:56,2,3,No Injury,3
2017-00005460,1/24/2017 21:56,2,4,No Injury,3
2017-00005434,1/24/2017 19:40,1,1,No Injury,3
2017-00005434,1/24/2017 19:40,1,2,No Injury,3
2017-00005434,1/24/2017 19:40,2,1,No Injury,3
2017-00005067,1/23/2017 12:43,1,1,No Injury,3
2017-00005067,1/23/2017 12:43,1,2,No Injury,3
2017-00005067,1/23/2017 12:43,2,1,No Injury,3
2017-00004639,1/20/2017 17:49,1,1,Unknown,2
2017-00004086,1/19/2017 17:07,1,1,No Injury,3
2017-00004086,1/19/2017 17:07,1,2,No Injury,3
2017-00004086,1/19/2017 17:07,1,3,No Injury,3
2017-00004086,1/19/2017 17:07,2,1,No Injury,3
2017-00001989,1/10/2017 17:11,1,1,No Injury,3
2017-00001989,1/10/2017 17:11,1,2,No Injury,3
2017-00001989,1/10/2017 17:11,1,3,No Injury,3
2017-00001989,1/10/2017 17:11,2,1,No Injury,3
2017-00006314,1/28/2017 3:30,1,2,Unknown,2
2017-00006314,1/28/2017 3:30,1,1,No Injury,3
2017-00003303,1/16/2017 17:25,1,1,No Injury,3
2017-00003303,1/16/2017 17:25,2,1,No Injury,3
2017-00006585,1/29/2017 2:35,1,1,No Injury,3
2017-00006585,1/29/2017 2:35,2,1,Non-Incapacitating,5
2017-00006717,1/29/2017 17:45,1,1,No Injury,3
2017-00006717,1/29/2017 17:45,2,1,No Injury,3
2017-00006717,1/29/2017 17:45,2,2,No Injury,3
2017-00006717,1/29/2017 17:45,2,3,No Injury,3
2017-00006717,1/29/2017 17:45,2,4,No Injury,3
2017-00006393,1/28/2017 12:47,1,1,No Injury,3
2017-00006393,1/28/2017 12:47,1,2,No Injury,3
2017-00006393,1/28/2017 12:47,2,1,No Injury,3
2017-00006074,1/27/2017 8:39,1,1,No Injury,3
2017-00006074,1/27/2017 8:39,2,1,No Injury,3
2017-00006074,1/27/2017 8:39,2,2,No Injury,3
2017-00006173,1/27/2017 16:33,1,1,No Injury,3
2017-00006173,1/27/2017 16:33,2,1,No Injury,3
2017-00006173,1/27/2017 16:33,2,2,No Injury,3
2017-00006176,1/27/2017 16:41,1,1,No Injury,3
2017-00006176,1/27/2017 16:41,2,1,No Injury,3
2017-00005917,1/26/2017 15:25,1,1,No Injury,3
2017-00005917,1/26/2017 15:25,2,1,No Injury,3
2017-00004055,1/19/2017 15:09,1,1,No Injury,3
2017-00004055,1/19/2017 15:09,2,1,Possible,4
2017-00005146,1/23/2017 16:45,1,1,No Injury,3
2017-00005146,1/23/2017 16:45,2,1,No Injury,3
2017-00005964,1/26/2017 19:33,1,1,No Injury,3
2017-00005964,1/26/2017 19:33,2,1,No Injury,3
2017-00005944,1/26/2017 17:48,1,1,No Injury,3
2017-00005944,1/26/2017 17:48,2,1,No Injury,3
2017-00005944,1/26/2017 17:48,2,2,No Injury,3
2017-00005944,1/26/2017 17:48,2,3,No Injury,3
2017-00006201,1/27/2017 17:13,1,1,No Injury,3
2017-00006201,1/27/2017 17:13,2,1,No Injury,3
2017-00005769,1/26/2017 7:13,1,1,No Injury,3
2017-00005769,1/26/2017 7:13,1,2,No Injury,3
2017-00005769,1/26/2017 7:13,2,1,No Injury,3
2017-00006648,1/29/2017 11:50,1,1,No Injury,3
2017-00006648,1/29/2017 11:50,1,2,No Injury,3
2017-00006648,1/29/2017 11:50,2,1,No Injury,3
2017-00006648,1/29/2017 11:50,2,2,No Injury,3
2017-00006406,1/28/2017 14:02,1,1,No Injury,3
2017-00006406,1/28/2017 14:02,2,1,No Injury,3
2017-00006484,1/28/2017 19:04,1,1,No Injury,3
2017-00006484,1/28/2017 19:04,1,2,No Injury,3
2017-00006484,1/28/2017 19:04,2,1,No Injury,3
2017-00006135,1/27/2017 14:28,1,1,No Injury,3
2017-00006135,1/27/2017 14:28,1,2,No Injury,3
2017-00006135,1/27/2017 14:28,2,1,No Injury,3
2017-00006135,1/27/2017 14:28,2,2,No Injury,3
2017-00006840,1/30/2017 10:18,1,1,No Injury,3
2017-00006840,1/30/2017 10:18,2,1,No Injury,3
2017-00006922,1/30/2017 15:47,1,1,No Injury,3
2017-00006922,1/30/2017 15:47,2,1,No Injury,3
2017-00006922,1/30/2017 15:47,2,2,No Injury,3
2017-00006922,1/30/2017 15:47,1,2,Possible,4
2017-00006680,1/29/2017 13:41,1,1,No Injury,3
2017-00006680,1/29/2017 13:41,1,2,No Injury,3
2017-00006680,1/29/2017 13:41,2,1,Possible,4
2017-00006194,1/27/2017 17:21,1,1,No Injury,3
2017-00006194,1/27/2017 17:21,2,1,No Injury,3
2017-00006645,1/29/2017 8:00,1,1,No Injury,3
2017-00006888,1/30/2017 13:44,1,1,No Injury,3
2017-00006888,1/30/2017 13:44,2,1,No Injury,3
2017-00005430,1/24/2017 19:25,1,2,No Injury,3
2017-00005430,1/24/2017 19:25,2,1,No Injury,3
2017-00005430,1/24/2017 19:25,1,1,Non-Incapacitating,5
2017-00007026,1/31/2017 1:06,1,1,Unknown,2
2017-00007056,1/31/2017 8:09,1,1,No Injury,3
2017-00007056,1/31/2017 8:09,1,2,No Injury,3
2017-00007056,1/31/2017 8:09,2,1,Possible,4
2017-00007242,1/31/2017 22:43,1,1,No Injury,3
2017-00007242,1/31/2017 22:43,2,1,No Injury,3
2017-00006739,1/29/2017 19:19,2,1,No Injury,3
2017-00006739,1/29/2017 19:19,2,2,No Injury,3
2017-00006739,1/29/2017 19:19,3,1,No Injury,3
2017-00006739,1/29/2017 19:19,1,1,Possible,4
2017-00007190,1/31/2017 18:24,1,1,Unknown,2
2017-00007190,1/31/2017 18:24,2,1,No Injury,3
2017-00007189,1/31/2017 18:17,1,1,No Injury,3
2017-00007189,1/31/2017 18:17,2,1,No Injury,3
2017-00007189,1/31/2017 18:17,2,2,No Injury,3
2017-00007233,1/31/2017 21:55,1,1,No Injury,3
2017-00007233,1/31/2017 21:55,3,1,No Injury,3
2017-00007233,1/31/2017 21:55,2,1,Non-Incapacitating,5
2017-00007188,1/31/2017 18:19,1,1,No Injury,3
2017-00006982,1/30/2017 20:07,2,1,No Injury,3
